cursuscode,cursusnaam
BBRECH,Bachelor of Laws in de rechten
BBCRIM,Bachelor of Science in de criminologische wetenschappen
BMRECH,Master of Laws in de rechten
BMCRIM,Master of Science in de criminologische wetenschappen
BMMARC,"International Master of Science in Advanced Research in Criminology: Border Crossing, Security and Social Justice"
