Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
MABA,CMBCBT,1,1,C003525,4,Savvas Savvides,macromoleculaire structuur en architectuur|structuur-functie verwantschappen|structurele biologie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,schriftelijk examen met open vragen
MABA,CMBCBT,1,1,C003526,3,Savvas Savvides,secundaire structuurbepaling|structuurvoorspelling|hybride methoden in de structurele biologie|structuur validatie|moleculaire visualisatie|structuurdatabanken|moleculaire docking|force fields|moleculaire dynamica|structurele bioinformatica.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen met open vragen,
MABA,CMBCBT,1,1,C003527,4,Kathleen Marchal|Caroline De Tender,statistiek|genomics|data analyse|experimenteel ontwerp|veralgemeende lineaire modellen|multivariate statistiek,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen met open vragen|openboekexamen,werkstuk
MABA,CMBCBT,1,2,C000500,3,Yves Van de Peer,moleculaire fylogenie|boomconstructie|phylogenomics|genduplicatie|genoomduplicatie,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,CMBCBT,1,2,C003616,4,Bert De Rybel|Marie Joossens|Steven Maere|Kris Morreel|Yvan Saeys|Klaas Vandepoele,integratieve biologie|top-down en bottom-up systeembiologie|clustering|biologische netwerken|modelleren van gen netwerken|synthetische biologie en single cell biologie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk
MABA,CMBCBT,2,1,C002381,3,Koen Vanhalst|Patrick Rudelsheim,intellectuele eigendom|bioveiligheid|gmp|clinical trials|bioethiek|europese directieven,periodegebonden,openboekexamen|mondeling examen,openboekexamen|mondeling examen,
MABA,CMBCBT,2,1,C002865,3,Heidi Mertes|Seppe Segers,bioethics|applied ethics,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,CMBCBT,2,1,C003106,3,Peter Vandenabeele|Rudi Beyaert|Sofie Goormachtig|Savvas Savvides|Peter Vandamme|Klaas Vandepoele,wetenschappelijke methode|wetenschappelijke literatuur|wetenschappelijk onderzoeksvoorstel|wetenschappelijke verslaggeving,periodegebonden|niet-periodegebonden,werkstuk,werkstuk,vaardigheidstest
MABA,CMBCBT,2,J,C002310,30,N. N.,wetenschappelijke methode|experimentele design|gegevensverwerving|statistische analyses|synthese|literatuur.,periodegebonden|niet-periodegebonden,mondeling examen|werkstuk,mondeling examen|werkstuk,participatie|gedragsevaluatie op de werkvloer
MABA,CMBCBT,2,J,C003671,3,Peter Vandamme|Peter Brouckaert|Geert De Jaeger|Marie Joossens|Jonathan Maelfait,biotechnologische toepassing|industriële toepassing|fermentatie|enzymtechnologie|bio- energie|milieutechnologie|biopharmaceutica|genetisch gemodificeerd gewas|bio-ethiek|publieke perceptie,niet-periodegebonden,,,participatie|werkstuk
MABA,CMBIOY,1,1,C003301,5,Peter Dawyndt,programmeervaardigheden|probleemoplossend denken|programmeertaal python,periodegebonden|niet-periodegebonden,openboekexamen|vaardigheidstest,openboekexamen|vaardigheidstest,openboekexamen|vaardigheidstest
MABA,CMBIOY,1,2,C003302,3,Matthew Shawkey|Bart Braeckman|Luc Lens,wetenschappelijke rapportering|projectvoorstellen|academisch fondswerving,periodegebonden|niet-periodegebonden,werkstuk,werkstuk,mondeling examen
MABA,CMBIOY,2,1,C003334,5,Dominique Adriaens,wetenschapscommunicatie|wetenschappelijke rapportering|mediatraining|wetenschappelijk debatteren|solliciteren op arbeidsmarkt|wetenschap na de opleiding.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|simulatie
MABA,CMBIOY,2,1,C003345,5,Carl Vangestel,univariate statistiek|algemene lineaire modellen|discrete data analyse|veralgemeende lineaire modellen|gemengde lineaire modellen.,periodegebonden,mondeling examen|verslag,mondeling examen|verslag,
MABA,CMBIOY,2,J,C002312,30,N. N.,wetenschappelijke methode|experimentele design|data acquisitie|statistische analyses|synthese|literatuur.,periodegebonden,werkstuk,werkstuk,
MABA,CMCHMY,1,1,C002546,4,Laszlo Vincze,proefopzet|experimentele design|gegevensanalyse|signaalverwerking|univariabele kalibratie|patroonherkenning,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen met open vragen|openboekexamen,vaardigheidstest
MABA,CMCHMY,1,1,C002547,6,Zeger Hens,statistical thermodynamics|lattice models|physical transport|chemical reaction dynamics,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen|openboekexamen|mondeling examen|verslag,schriftelijk examen met open vragen|schriftelijk examen|openboekexamen|mondeling examen|verslag,
MABA,CMCHMY,1,1,C002549,3,Yue Gao,,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,CMFYST,2,J,C002315,30,N. N.,onderzoek in de fysica en/of sterrenkunde|schriftelijke en mondelinge rapportering,periodegebonden,mondeling examen|werkstuk,mondeling examen|werkstuk,participatie|werkstuk
MABA,CMGEOF,1,1,C004171,7,Nico Van de Weghe,toepassen van netwerkanalyse|geostatistiek|mce|en andere analysetechnieken|… om een geografisch probleem op te lossen.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk
MABA,CMGEOF,1,2,C001623,5,Sil Lanckriet,politieke ecologie|global change|menselijke impact op het milieu,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,werkstuk
MABA,CMGEOF,1,2,C004172,5,Rudi Goossens|Tim Van de Voorde,•  lidar •  hyperspectrale beelden •  object classificatie •  radar •  time series •  subpixel classificatie •  machine learning classificatie,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,werkstuk
MABA,CMGEOF,1,J,C004170,5,Veerle Van Eetvelde|Nico Van de Weghe,wetenschappelijk onderzoek|onderzoeksmethoden|wetenschappelijke rapportering|onderzoeksvoorstel.,periodegebonden|niet-periodegebonden,werkstuk,werkstuk,mondeling examen
MABA,CMGEOF,1,J,C004173,8,Veerle Van Eetvelde|N. N.,meerdaags buitenlandse onderzoeksreis|veldwerk|internationale samenwerking|interdisciplinair|multiperspectivisme,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|portfolio,schriftelijk examen met open vragen|portfolio,participatie|werkstuk|peer-evaluatie
MABA,CMGEOG,1,1,C003057,7,Nico Van de Weghe,gis|geografische informatiesystemen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,mondeling examen|werkstuk
MABA,CMGEOG,1,2,C001623,5,Sil Lanckriet,politieke ecologie|global change|menselijke impact op het milieu,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,werkstuk
MABA,CMGEOG,1,2,C003385,5,N. N.,,periodegebonden,werkstuk,werkstuk,
MABA,CMGEOG,1,J,C001551,8,Veerle Van Eetvelde,meerdaagse buitenlandse onderzoekreis|veldwerk|internationale samenwerking,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|portfolio,schriftelijk examen met open vragen|portfolio,participatie|werkstuk|peer-evaluatie
MABA,CMGEOG,2,J,C003153,25,N. N.,zie richtlijnen op http://geoweb.ugent.be/studenten,periodegebonden,werkstuk,werkstuk,
