Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,IB6BIW,2,2,I620023,5,Sergei Gusev,industrie 4.0|internet of things|sensoren|data-acquisitie|cloud-dataopslag|dashboarding|labview,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,werkstuk|verslag

BACH,IB6BIW,2,2,I620024,5,Ann Dumoulin|Yannick Verheust,chromatografie|gaschromatografie|hplc|planaire scheidingstechnieken|uitsluitingschromatografie|ionenuitwisselingschromatografie.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,vaardigheidstest|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,2,2,I620025,5,Joël Hogie|Steven De Meester|Sergei Gusev|Frederik Ronsse|Bruno Vanslambrouck,stoom|stookketels|warmtewisselaars|condensaat|software simulatie|energieconversie|energietechnologie|pompen|compressoren|ventilatoren|koelmachines|warmtepompen.,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,2,2,I620026,6,Imca Sampers|Liesbeth Jacxsens,kwaliteitszorgsystemen|haccp|levensmiddelenmicrobiologie|hygiëne|voedselveiligheid|bederf|conservering,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk|gedragsevaluatie op de werkvloer|peer-evaluatie|verslag

BACH,IB6BIW,2,2,I630019,3,Stijn Luca,multivariate data-analyse|meervoudige lineaire regressie|niet-lineaire regressie|logistische regressie|one-way en two-way variantieanalyse (anova).,periodegebonden|niet-periodegebonden,schriftelijk examen|openboekexamen,schriftelijk examen|openboekexamen,werkstuk|verslag

BACH,IB6BIW,3,1,I630045,7,Steven De Meester|Joël Hogie,chemische ingenieurstechnieken|eenheidsoperaties|indamping|destillatie|gasabsorptie|vloeistof/vloeistof-extractie|vaste stof/vloeistof/extractie|adsorptie,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,3,1,I630046,6,Stijn Van Hulle|Steven De Meester,watertechnologie|proceswater|afvalwaterzuivering|verbranding|vergisting|compostering.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen|mondeling examen,schriftelijk examen met open vragen|openboekexamen|mondeling examen,gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,3,1,I630047,3,Tom Desmet,biokatalyse|bioconversie|enzymtechnologie|engineering|immobilisatie|solventsystemen|industriële toepassingen.,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|verslag

BACH,IB6BIW,3,1,I630048,6,Sergei Gusev,industrie 4.0|automatisering|programmable logical controller (plc)|actoren|aandrijvingen|pid-regelaar|model predictive control (mpc),periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,werkstuk|verslag

BACH,IB6BIW,3,2,E620702,3,Ludo Poelaert,bedrijseconomie dubbel boekhouden management accounting investeringsanalyse analyse van de jaarrekening,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,werkstuk|verslag

BACH,IB6BIW,3,2,I630051,6,Katleen Raes,bioreactoren - fermentatie - groeikinetiek - fermentor design,periodegebonden|niet-periodegebonden,schriftelijk examen|openboekexamen|mondeling examen,schriftelijk examen|openboekexamen|mondeling examen,participatie|gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,3,2,I630052,5,Stijn Van Hulle|Joël Hogie,deterministisch modelleren|model diagnose|simulatie en scenario-analyse.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen|mondeling examen,schriftelijk examen met open vragen|openboekexamen|mondeling examen,gedragsevaluatie op de werkvloer|verslag

BACH,IB6BIW,3,2,I630053,4,Jos Knockaert|Steve Dereyne|Jan Desmet|Frederik Ronsse,duurzame energie|hernieuwbare energie|energieproductie|energieverbruik.,periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk

BACH,IB6BIW,3,2,I630055,4,Karel De Schamphelaere|Diederik Rousseau,humane toxicologie|epidemiologie|ecotoxicologie| ecologische risico-evalutie|explosieveiligheid|chemische stoffen.,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,verslag

BACH,IB6BIW,3,J,I630056,6,Diederik Rousseau|Steven De Meester|Ann Dumoulin|Katleen Raes|Imca Sampers|Stijn Van Hulle,literatuurontsluiting|refereren|wetenschappelijk schrijven|onderzoeksethiek|onderzoeksattitude|projectwerk|groepswerk|praktijkstudie met kritische evaluatie|integratie van basiskennis|schriftelijk en mondeling rapporteren.,periodegebonden|niet-periodegebonden,werkstuk|peer-evaluatie,werkstuk,werkstuk

BACH,IB7BWE,1,1,I700197,4,Jan Verwaeren,programmeren|programmeertaal python|probleemoplossend denken,periodegebonden|niet-periodegebonden,openboekexamen,openboekexamen,mondeling examen|werkstuk

BACH,IB7BWE,1,1,I700198,6,Johan D'heer,klassieke mechanica|mechanische trillingen en golven.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen|werkstuk

BACH,IB7BWE,1,1,I700199,6,Pieter Vermeir,"stoechiometrie|activiteit|concentratie|atoomorbitaal|elektronenconfiguratie|ionaire binding|covaltente binding|hybridisatie|vsepr|molecuulorbitaal, enthalpie|entropie|gibbsenergie|reactiesnelheid",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag

BACH,IB7BWE,1,1,I700200,4,Joris Michiels,zoölogie|taxonomie|embryologie|groei van dieren|functies van dieren|protozoa|invertebraten|vertebraten,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag

BACH,IB7BWE,1,1,I700201,4,Pieter De Frenne,plantkunde|morfologie|anatomie|histologie|systematiek,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,schriftelijk examen|werkstuk|peer-evaluatie

BACH,IB7BWE,1,2,I700190,4,Kris Audenaert,"prokaryotische cel|eukaryotische cel, leven|celorganellen|celactiviteiten|celdifferentiatie",periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,verslag

BACH,IB7BWE,1,2,I700202,5,Willem Waegeman,lineaire algebra|toepassingen van lineaire algebra in calculus,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen

BACH,IB7BWE,1,2,I700203,3,Jan Verwaeren,programmeren|python,periodegebonden,openboekexamen,openboekexamen,

BACH,IB7BWE,1,2,I700204,4,Johan D'heer,thermodynamica|warmte|temperatuur|hoofdwetten|inwendige energie|enthalpie|entropie|toestandsveranderingen|ideale gassen|reële gassen|relatieve vochtigheidsgraad|warmteoverdracht|convectie|conductie|warmtestraling|warmtewisselaars.,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|werkstuk

BACH,IB7BWE,1,2,I700205,4,Pieter Vermeir,"londonkracht|van der waalskracht|dipoolmoment|aggregatietoestand|gas|vloeistof|oplossing, evenwicht|zuur|base|zout|amfoliet|buffer|redox, galvanische cel",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen|gedragsevaluatie op de werkvloer|verslag

BACH,IB7BWE,1,2,I700206,5,Sven Mangelinckx,organische chemie|structuur|stereochemie|reactiviteit|toepassingen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,vaardigheidstest

BACH,IB7BWE,1,2,I700207,5,Jessika De Clippeleer,"biochemistry|macromolecules|enzymes, central metabolism",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag

BACH,IB7BWE,1,A,I700196,6,Jan Baetens,verzamelingen|vectoren|functies|continuïteit en limieten|afleiden|integreren|taylor-reeksen|functies van één veranderlijke|functies van meerdere veranderlijken|meervoudige integratie|mathematica|python,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IB7BWE,2,1,I700208,4,Jan Baetens,gewone differentiaalvergelijkingen|analytische methodes|numerieke methodes|evenwichtspunten|stabiliteit|modellering|stelsels differentiaalvergelijkingen|transformatie van laplace|python|mathematica,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,

BACH,IB7BWE,2,1,I700209,4,Johan D'heer,"electriciteit|magnetisme|lading|elektrostatica|spanning|condensatoren|gelijkstroom, wisselstroom|elektromagnetische inductie|motoren|elektromagnetische golven.",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen

BACH,IB7BWE,2,1,I700210,5,Johan D'heer|Jan De Strooper,fluïdomechanica|viscositeit|oppervlaktespanning|druk|archimedes|continuïteitsvergelijking|bernoulli|laminaire stroming|turbulente stroming|drukverlies|leidingen en leidingsystemen|open kanalen|pompen|compressoren|fluid power|pneumatica|vacuümtechnologie|mobiele hydraulica,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen|werkstuk|verslag

BACH,IB7BWE,2,1,I700211,5,Kris Audenaert,genetica  - overerving - populatiegenetica - kwantitatieve genetica - moleculaire genetica - genregulatie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,gedragsevaluatie op de werkvloer

BACH,IB7BWE,2,2,I700214,4,Bernard De Baets,kans/waarschijnlijkheid/probabiliteit|toevalsveranderlijken en -vectoren|markov ketens|limietstellingen|(beschrijvende) statistiek|schatten van parameters.,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,

BACH,IB7BWE,2,2,I700215,3,Johan D'heer,"optica|terugkaatsing|breking|optische instrumenten|interferentie|diffractie|diffractielimiet|zwarte straling|fotonen|atoommodellen|materiegolven|onzekerheidsprinciepe heisenberg|quantummechanica|golfmechanica|schrödingervergelijking, laser|x-straling|led|solar cell|fotometrie|lichtsterkte eenheden|kernfysica|isotopen|kernspin|nmr|radioactiviteit|kernfusie|kernfissie|dosimetrie.",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,verslag

BACH,IB7BWE,2,2,I700216,6,Pieter Vermeir,analytische tools|volumetrische methodes|gravimetrische methodes|elektrochemische methodes,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,gedragsevaluatie op de werkvloer|peer-evaluatie|verslag

BACH,IB7BWE,2,2,I700217,5,Leen De Gelder,microbiologie|micro-organismen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|participatie

BACH,IB7BWE,2,2,I700218,3,Jan Mertens,ecologie|interacties|biodiversiteit|ecosystemen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|peer-evaluatie|verslag

BACH,IB7BWE,3,1,I700040,3,Kathy Messens,"spijsvertering|metabolisme, nutriënten|voeding van de mens",periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IB7BWE,3,1,I700219,5,Mia Eeckhout,landbouwgrondstoffen|materie- en energiebalansen|transportsystemen|zeven|centrifugeren|filtreren|mengen|agglomereren|vergroten|verkleinen|sedimentatie|homogenisatie|opslag|luchtbehandeling,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IB7BWE,3,1,I700220,4,Leen De Gelder,milieuwetgeving en -vergunningen|milieuproblematiek|milieutechnologie|afvalwaterzuivering|luchtzuivering|afvalverwerking|composteren|mestverwerking,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk|peer-evaluatie

BACH,IB7BWE,3,1,I700221,6,Joachim Schouteten,ondernemerschap|maatschappelijk verantwoord ondernemen|businessplan|creativiteit|kosten -en management accounting|marketing,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk|peer-evaluatie

BACH,IB7BWE,3,2,I700223,4,Stijn Luca,statistiek|data-analyse|lineaire modellen|t-testen|hypothese toetsen|variantieanalyse|regressie-analyse|niet-parametrische testen,periodegebonden|niet-periodegebonden,schriftelijk examen|openboekexamen,schriftelijk examen|openboekexamen,vaardigheidstest

BACH,IB7BWE,3,2,I700224,3,Liesbeth Jacxsens,kwaliteitssysteem|brc|haccp|gmp|iso|traceerbaarheid|autocontrole|statistische procescontrole,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IB7BWE,3,J,I700151,5,Ingrid De Leyn|Leen De Gelder|Veerle Derycke,multidisciplinair literatuuronderzoek|projectwerk|groepswerk|praktijkstudie met kritische evaluatie|schriftelijk en mondeling rapporteren,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|werkstuk|peer-evaluatie

BACH,IBBIORBN,1,1,I002417,5,Dirk Poelman,mechanica|mechanische trillingen en golven|statica|dynamica,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IBBIORBN,1,1,I002418,5,Rik Van Deun,atoom|ion|molecule|periodiek systeem|chemische reactie|enthalpie|chemische binding|ideale en reële gassen|intermoleculaire attractiekrachten|aggregatietoestand|oplossingen|reactiesnelheid en -orde|reactiemechanisme|elementen en verbindingen in de biosfeer,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|gedragsevaluatie op de werkvloer|verslag

BACH,IBBIORBN,1,1,I002419,4,Godelieve Gheysen,prokaryotische cel|eukaryotische cel|celorganellen|basis biochemische moleculen|dna|rna|eiwit|genoom|dna-replicatie en -herstel|transcriptie|translatie|mitose|meiose|mutatie|recombinatie|genregulatie|epigenetica|(mendeliaanse en niet-mendeliaanse) overerving|evolutie|recombinant dna|pcr|dna-hybridisatie|ggo,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|verslag

BACH,IBBIORBN,1,1,I002420,5,Pieter De Frenne,plantkunde|anatomie|morfologie|biodiversiteit van planten,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,werkstuk|peer-evaluatie

BACH,IBBIORBN,1,2,I002422,5,Willem Waegeman,theoretische concepten en toepassingen van lineaire algebra,periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen

BACH,IBBIORBN,1,2,I002423,5,Frederik Ronsse,fysische thermodynamica|fase-overgang|thermodynamische cycli|toegepaste thermodynamica,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,

BACH,IBBIORBN,1,2,I002424,6,Rik Van Deun|Gijs Du Laing,chemische thermodynamica|chemisch evenwicht|zuren|basen|zouten|buffers|redox|elektrochemie|weinig oplosbare verbindingen|analytische chemie|gravimetrie|volumetrie|chemische industrie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|vaardigheidstest|gedragsevaluatie op de werkvloer|verslag

BACH,IBBIORBN,1,2,I002425,5,Luc Tirry,dierkunde|invertebraten|dierlijke weefsels|reproductie en ontwikkeling|protozoa|metazoa,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,vaardigheidstest

BACH,IBBIORBN,1,2,I002426,5,Marc Van Meirvenne,planeet aarde|gesteentevormende mineralen|gesteentecyclus|geologische processen|geologische tijd|biologische evolutie|klimaat|geologie en geomorfologie van belgië (deel paleozoïcum en mesozoïcum),periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|mondeling examen|werkstuk

BACH,IBBIORBN,1,2,I002427,4,Kathy Steppe,ecosystemen|energiedoorstroming|kringlopen|populaties|gemeenschappen|klimaat,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,verslag

BACH,IBBIORBN,1,A,I002416,6,Jan Baetens,verzamelingen|vectoren|continuïteit|limieten|functies|exponentiële|logaritmische|goniometrische|cyclometrische en hyperbolische functies|afleiden|integreren|(macht) reeksen|taylor-reeksen|vectorfuncties|functies van één veranderlijke|functies van meerdere veranderlijken|meervoudige integralen|pool-|cilinder- en bolcoördinaten|mathematica|matlab,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,

BACH,IBBIORBN,1,J,I002421,5,Jan Verwaeren,wetenschappelijk rekenen|programmeren|algoritmen|datastructuren|matlab,periodegebonden|niet-periodegebonden,schriftelijk examen|openboekexamen,schriftelijk examen|openboekexamen,schriftelijk examen|openboekexamen

BACH,IBBIORBN,2,1,I002428,5,Bernard De Baets,gewone en partiële differentiaalvergelijkingen|analytische methodes|numerieke methodes|matlab|stabiliteit,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen|openboekexamen,

BACH,IBBIORBN,2,1,I002429,5,Toon Verstraelen,natuurkunde|elektriciteit|magnetisme|elektromagnetische golven|licht|sensoren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|peer-evaluatie

BACH,IBBIORBN,2,1,I002430,4,Luc Tirry,dierkunde|vertebraten|fysiologie|deuterostomia|chordata,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,vaardigheidstest

BACH,IBBIORBN,2,1,I002431,5,Dirk Reheul,plantenfysiologie|groei en ontwikkeling|planten in hun omgeving,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,werkstuk|verslag

BACH,IBBIORBN,2,1,I002432,3,Matthias D'hooghe,organische chemie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,gedragsevaluatie op de werkvloer|verslag

BACH,IBBIORBN,2,1,I002433,4,Els Van Damme,macromoleculen|enzymen|enzymkinetiek|centraal metabolisme|toepassingen van biochemie,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|verslag

BACH,IBBIORBN,2,1,I002434,5,Frank Nevens|Jo Dewulf,duurzame ontwikkeling|systeemdenken|transities|productie-en consumptiesystemen|duurzaamheidsevaluatie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|werkstuk|peer-evaluatie

BACH,IBBIORBN,2,2,I002435,5,Bernard De Baets,probabiliteit|toevalsveranderlijken en -vectoren|limietstellingen|steekproeven|schatten van parameters|sampling algoritmen|onzekerheidspropagatie|matlab,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen|openboekexamen,

